Fecha,Titulos,Cuerpo de la noticia,Numero de parrafos
03.05.2021 / 10:10,"Schalper y aporte universal: “Empleados públicos han mantenido estabilidad, ¿por qué tendrían que ser beneficiarios?”"," Una “agenda de mínimos comunes” a discutir “de cara a la ciudadanía” fue lo acordado entre las mesas del Congreso y el presidente Sebastián Piñera en la reunión sostenida el viernes en La Moneda. Según adelantó la presidenta del Senado, Yasna Provoste (DC), el diálogo “establece como primer punto la protección social y la entrega universal de ayudas a las familias” para evitar un cuarto retiro del 10% de las AFP.El anuncio abre el debate sobre una renta básica universal de emergencia, es decir, un aporte que llegue sin requisitos a las familias durante la emergencia sanitaria.Así lo explicó el diputado y candidato presidencial de Convergencia Social (CS), Gabriel Boric, en entrevista con CHV Noticias y CNN Chile: “nosotros lo que hicimos fue proponer un ingreso universal de emergencia que esté por sobre la línea de la pobreza para cada familia que esté inscrita en el Registro Social de Hogares (RSH), sin ningún tipo de requisitos, mientras dure la alerta sanitaria”.Lee también: Gobierno ingresa proyecto de bono de $200 mil para quienes no tengan fondos en las AFPEsto tendría un alto costo para el Fisco, pero sería “mucho más razonable que seguir destruyendo las instituciones y los ahorros de las personas, y beneficiaría al orden de 14,5 millones de personas“, aseguró Boric.El diputado Diego Schalper (RN) también participó en la entrevista y afirmó que la propuesta enunciada por Boric está “bastante cerca” de lo que establece el Ingreso Familiar de Emergencia (IFE) ampliado, dirigido al 80% más vulnerable del RSH.Sin embargo, planteó sus inquietudes: “cuando uno dice universal, yo más bien diría universal respecto a aquellos que lo necesitan y de acuerdo a sus necesidades, porque son cosas distintas”. Como ejemplo puso a “los empleados públicos, a quienes tengo un tremendo aprecio, pero hay que reconocer que han mantenido una estabilidad laboral que no tienen la mayoría de los chilenos, ¿por qué tendrían que ser beneficiarios? Yo creo que no”.Lee también: Yasna Provoste: “Si tenemos una renta básica universal, no se debe respaldar un cuarto retiro”Además, preguntó por quienes no están en el RSH y aun así atraviesan dificultades: “¿qué sucede con el trabajador independiente que es peluquero y que no ha podido abrir la peluquería, y que está angustiado? ¿Qué pasa con el que lleva ocho meses suspendido en su contrato de trabajo y no quiere más guerra? ¿Qué pasa con el pensionado? Yo creo que la fórmula única no resuelve todos los problemas. Tenemos que ser capaces de sentarnos a mirar las distintas realidades y darles solución”.Boric, por su parte, respondió que la lógica de la focalización “no ha funcionado”, ya que “en Chile tenemos hoy día casi una economía de subsistencia que está basada en gran medida en redes familiares. Hoy día incluso quienes no han visto disminuidos sus ingresos son sostén de parte importante de sus familias“.Además, aseguró que “quien se inscribe en el RSH es quien tiene una necesidad”.",11
14.04.2021 / 19:48,"Diego Schalper: “Fui víctima de un insulto sexista, mentiroso y grotesco”"," El diputado de Renovación Nacional (RN) Diego Schalper se dirigió al presidente de la Cámara de Diputados Diego Paulsen (RN) con el fin de reflexionar sobre los polémicos dichos de la diputada del Partido Humanista (PH) Pamela Jiles en su contra.“Señor presidente, yo fui víctima de un insulto sexista, mentiroso y grotesco, porque verbalicé una verdad”, acusó el diputado al comienzo de la sesión parlamentaria de este miércoles.Tras eso, indicó: “esta tribuna, señor presidente, no es para abusar de ella. Usar los espacios que brinda ser diputado o diputada para beneficiar la candidatura del marido es conflicto de interés, es abuso de poder”.Lee también: Tras decir que Schalper “no es hombrecito”: Emplazan a Pamela Jiles a “erradicar el machismo”Asimismo, el parlamentario pidió “un mínimo de respeto a los electores nos exige rendir cuenta de eso y no escapar con insultos como cortinas de humo”.Según el diputado de RN, “donde falla la política, emerge el caudillismo, el mismo que ha hecho pedazos a países vecinos, el mismo que no propone ideas, sino que trafica ilusiones, especialmente en tiempos de dolos y desesperación”.Por lo mismo, invitó a sus compañeros de la Cámara de Diputados a tener cuidado. “Colegas, lo que aquí está en juego es el fin de la política, con un ‘que se vayan todos’ reemplazado por la superficialidad, la improvisación y la parafernalia. Eso es lo que no estamos siendo capaces de ver cuando estamos obsesionados con las redes sociales y cuando pensamos más en la próxima elecciones que en la próxima generación”.Lee también: Vlado Mirosevic descarta incluir a Pamela Jiles en primarias: “Con los populismos ni a misa”“El caudillismo crece cuando falta el sentido futuro. El caudillo siempre es simpático, le da lo mismo lo que pasará después y las consecuencias para la futuras generaciones, para él o ella lo único importante es simpatizar, recibir dedos para arriba o retuits”, sostuvo.Finalmente, especificó que “Chile es demasiado importante para que seamos cómplices pasivos de esta pandemia caudillista y ególatra que se ha venido a instalar con colores circenses en este Congreso”.El pasado 6 de abril, la diputada Pamela Jiles le envió un mensaje a su colega Schalper.En el lugar donde se encuentra la prensa del Congreso Nacional, Jiles dijo: “yo me quiero referir a una declaración que acaba de hacer en el hemiciclo el diputado ‘candado chino’ Schalper”.Lee también: J.C Rodriguez a Schalper por impuesto a súper ricos: “No puedo aceptar que, a través de la palabra, disfrace las cosas”Según la diputada, el parlamentario de RN “acaba de señalar en el hemiciclo que yo debería inhabilitarme en relación al proyecto sobre la franja, supongo que haciendo referencia a que el abuelo Pablo Maltés es candidato a gobernador por la Región Metropolitana, cuestión que él no dice porque no es hombrecito”. Tras eso, repitió “diputado ‘candado chino’ Schalper. ¿Me escucha?. Diputado ‘candado chino’ Schalper, imprímalo, insolente, la abuela no se inhabilita”.",15
11.04.2021 / 18:08,Schalper: “No quisiera que RN se transforme en una especie de sucursal de algún proyecto individual”," El diputado Diego Schalper (RN) analizó el presente de Chile Vamos de cara a las primarias presidenciales, que tiene como abanderado al ex ministro de Defensa y ex timonel de su partido, Mario Desbordes.En entrevista con El Mercurio, el parlamentario sostuvo que “cualquier proyección que se haga de la primaria antes de las elecciones municipales y constituyentes es absurda”. Sin embargo, indicó que estos comicios “serán muy relevantes para ver cómo se proyectan las distintas fuerzas dentro de la coalición”.En el caso de Renovación Nacional, señaló que marcará “un termómetro de lo que ha sido la gestión de la actual directiva” y “el destino del partido, de Chile Vamos y de nuestra candidatura presidencial”.Asimismo, evaluó la figura de Desbordes como el representante de la tienda rumbo a La Moneda, aseverando que “ha intentado hacer propio un socialcristianismo que varios han venido empujando hace un buen rato”. No obstante, cree que el principal desafío estará en “entusiasmar a los distintos grupos del partido detrás de ese empeño”.Lee también: Partido Liberal y Nuevo Trato se cuadran para llevar candidato presidencial a primarias de oposiciónSobre el bajo posicionamiento del ex diputado en las encuestas, Schalper afirmó que “hay una mezcla de factores”, entre ellos que “tu base de apoyo, RN, se sienta representada en sus distintas sensibilidades en tu planteamiento, y ahí hay una tarea pendiente“.Por otra parte, criticó el apoyo de la comisión de RN al proyecto del tercer retiro del 10% de los fondos previsionales: “Cómo va a ser posible que una decisión de esa envergadura se tome a través de una conversación por WhatsApp entre gallos y medianoche”.“No quisiera que RN se transforme en una especie de sucursal de algún proyecto individual. Las posiciones políticas se procesan mediante debate donde todas esas visiones se puedan expresar y no donde se pasa máquina a través de un grupo de WhatsApp”, apuntó.",8
30.03.2021 / 15:17,SES pide al Mineduc el cierre de la U. La República y Schalper llama al ministro “a ponerse las pilas”," La Superintendencia de Educación Superior (SES) resolvió proponer al Ministerio de Educación (Mineduc) la revocación del reconocimiento oficial de la Universidad La República (ULARE), lo que significará su cierre y la reubicación de sus más de 400 estudiantes.La institución enfrenta una “grave crisis financiera, patrimonial y administrativa” que, a juicio de la superintendencia, hace inviable la continuidad de sus funciones.La decisión de la SES llega luego que, a fines de 2019, se instruyera un proceso de investigación y un posterior procedimiento administrativo sancionatorio contra la universidad. En diciembre de 2020, la superintendencia sancionó a la ULARE con la presentación de un plan de recuperación, pero la propuesta presentada por la casa de estudios el pasado lunes 22 de marzo no fue satisfactoria. De acuerdo a la SES, las medidas comprometidas no permitirían subsanar la crisis de la institución, así como tampoco garantizar la continuidad del préstamo del servicio educativo. Lee también: La campaña de profesora en Peñalolén: Está recolectando celulares para que niños puedan estudiar a distanciaEl superintendente Jorge Avilés señaló que “el principal objetivo de la sanción impuesta a la universidad es proteger los intereses de los estudiantes, de manera de evitarles un daño mayor y permitirles continuar sus estudios en otras universidades que sí les den mayores garantías de calidad”.Ahora el Mineduc deberá nombrar a un administrador de cierre que tome el control de la institución y vele por la continuidad de estudios de sus alumnos, quienes deberían ser reubicados en otras universidades.A raíz de esta noticia, el diputado Diego Schalper (RN) llamó a los estudiantes a “organizarse para enfrentar este duro momento y ver alternativas con el Gobierno”.También emplazó al ministro de Educación “a ponerse las pilas y hacer la pega para que podamos reubicar oportunamente a esos estudiantes”.",9
05.01.2021 / 15:47,Diego Schalper: “Sostener que vacunarse es solo decisión individual es no tomarse en serio el tema”," El diputado Diego Schalper (RN) se sumó al debate que se ha generado en torno a si la vacuna contra el COVID-19 debe ser aplicada de forma voluntaria o no.La discusión se ha intensificado durante los últimos días luego de que el diputado Gabriel Silber (DC) anunciara un proyecto para que la inoculación sea obligatoria.“La única forma de lograr una efectiva inmunización en todo Chile es que todos los habitantes del país reciban la inmunización contra esta pandemia que ha cobrado casi 20 mil muertos”, declaró.Lee también: Antofagasta, Valparaíso, Tarapacá y O’Higgins: Las regiones que más aumentaron sus contagios en última semanaEn ese contexto, su par de RN afirmó a través de su cuenta de Twitter que “sostener que vacunarse es solo decisión individual es no tomarse en serio el tema. No vive cada uno en una isla“.“Vivimos en comunidad y las decisiones que tomamos afectan a los demás, especialmente en este caso, donde lo que podría estar en juego es poner en riesgo vital al otro”, añadió.Sostener que vacunarse es solo decisión individual es no tomarse en serio el tema. No vive cada uno en una isla. Vivimos en comunidad y las decisiones que tomamos afectan a los demás, especialmente en este caso, donde lo que podría estar en juego es poner en riesgo vital al otro.— Diego Schalper (@Diego_Schalper) January 5, 2021De todas formas, aclaró que “no he dicho que estoy a favor del proyecto de ley de Silber. Pero me parece que la pura apelación a la decisión individual es insuficiente y poco realista, porque ignora que vida en sociedad supone límites a la libertad para hacer viable la convivencia”.Tienes un punto. Ojo: no he dicho que estoy a favor del proyecto de ley de Silber. Pero me parece que la pura apelación a la decisión individual es insuficiente y poco realista, porque ignora que vida en sociedad supone límites a la libertad para hacer viable la convivencia. https://t.co/zF2iQYYe4Y— Diego Schalper (@Diego_Schalper) January 5, 2021Sus dichos marcan distancia con respecto de la posición del gobierno. En el caso de Chile, según han indicado las autoridades, la inoculación se realizará de forma voluntaria y gratuita y las primeras dosis comenzaron a aplicarse el pasado 24 de diciembre para el personal de salud.En tanto, medida que lleguen nuevas partidas, se priorizará a los grupos de riesgo y luego estará disponible para la población general.",15
29.11.2020 / 18:10,Schalper acusa que candidata a alcaldía de Machalí no pudo votar porque su mesa no fue constituida," En el marco de las elecciones primarias de alcaldes y gobernadores regionales, la precandidata a la alcaldía de Machalí, Macarena Matas (RN), denunció que no pudo participar de los comicios porque su mesa no estaba constituida.“Mi mesa no está constituida, lamentablemente hasta esta hora no voy a poder votar, vamos a invocar el artículo 42 de la Ley Electoral que señala que el Servel puede fusionar las mesas electoras y vamos a hacer todo para que las mesas se fusionen (…) Sería insólito que en un ejercicio democrático la candidata no pueda votar”, señaló Matas para El Rancagüino.De acuerdo al citado medio, en la comuna precordillerana se constituyeron el 98% de las mesas, siendo la 68, donde votaba la precandidata, la única que no pudo constituirse. Lee también: Helia Molina criticó la difusión previa a las primarias: “Ha sido muy mezquina la información del gobierno”Al respecto, el diputado Diego Schalper (RN) anunció que informó al Servel por la insólita situación. “Le he planteado al director regional del Servel que me parece una situación muy preocupante, que debe aclararse a la brevedad. Es más: mañana lunes enviaré un oficio al Director Nacional del Servel pidiéndole información sobre esta situación, que me parece muy delicada para el buen resultado del proceso”, afirmó.Sobre las acciones que emprendería ante esta situación, agregó: “También pediré que se me informe cuántas mesas quedaron sin constituirse, para evaluar otras acciones que podamos emprender”.",6
25.11.2020 / 07:38,Schalper pasa al diputado Bianchi a la Comisión de Ética por sus tuits contra el presidente Piñera," El diputado Diego Schalper (RN) ingresó un oficio a la Comisión de Ética de la Cámara de Diputados en el que cuestiona las publicaciones realizadas por su par de oposición Karim Bianchi (IND) sobre el presidente Sebastián Piñera. “El Presidente brazos cortos y manos largas es un psicópata ambicioso inhabilitado para gobernar” y “defendamos al país de un presidente desquiciado, destitución ahora… manicomio o cárcel pero la Moneda no!!!”, son algunos de los tuits mencionados por Schalper en el documento, según consigna El Mercurio.El Presidente  brazos cortos y manos largas es un psicopata ambicioso inhabilitado para gobernar, buscaremos su acusación constitucional por llevar al país a una crisis y veremos quien es cómplice de este gobierno inhumano #RenunciaYa#SegundoRetiroDeLasAFPs pic.twitter.com/QSFyr3SCsW— Karim Bianchi Diputado (@KarimBianchi) November 23, 2020“Brazos cortos y manos largas le declara la guerra a Chile. Hoy comienza el fin del Gobierno manejado por un gerente que pone en peligro la democracia y la estabilidad”, decía Bianchi en otra publicación, acompañando sus comentarios con el hashtag “#RenunciaYa” tras la decisión del Gobierno de enviar el segundo retiro del 10% al Tribunal Constitucional (TC). Brazos cortos y manos largas le declara la guerra a Chile. Hoy comienza el fin del gobierno manejado por un gerente que pone en peligro la democracia y la estabilidad#RenunciaYa#SegundoRetiroDeLasAFPs pic.twitter.com/St7V4HEBOo— Karim Bianchi Diputado (@KarimBianchi) November 23, 2020Lee también: Adriana Muñoz por dichos de Juan Sutil: “Expresan un desprecio absoluto por los trabajadores”En el oficio, el diputado RN pide que se inicie un procedimiento “por eventuales faltas a la ética parlamentaria”.Además, Schalper recordó el instructivo de la Cámara emitido hace algunos días en el que se regula el uso de redes sociales por parte de los parlamentarios. “A esta altura, ofender a alguien con una eventual patología de salud mental es impresentable. Esperamos se dé una sanción ejemplar para poner fin a esta política de descalificaciones e insultos”, apuntó.",13
26.09.2020 / 10:20,Celis pide al TS de RN resolver proceso disciplinario en su contra," (Agencia Uno) – Mediante un escrito enviado al Tribunal Supremo de Renovación Nacional, el diputado Andrés Celis, pidió que se resolviera a la brevedad su solicitud de inhabilitación y nulidad del proceso disciplinario que está abierto en su contra por denunciar que el diputado Diego Schalper estaba intentando incidir en votos para que se rechazara el proyecto que permitía el retiro del 10% de los fondos previsionales.La causa se abrió en julio de este año con el voto favorable de la actual subsecretaria de Prevención del Delito, Katherine Martorell y del subsecretario de Agricultura, José Ignacio Pinochet, quienes según el parlamentario de RN, deberían haberse inhabilitado para la decisión ya que tenían un interés actual y comprobable, lo que les habría impedido actuar con libertad, prudencia y ponderación.Lo anterior, se sustenta también en la abierta opinión política de Celis de votar a favor del retiro del 10% cuando Schalper intentaba persuadir a los diputados Ramón Galleguillos y Aracely Leuquén, para que se alinearan con la opinión del Gobierno.Por eso, a inicios de agosto, el legislador por el distrito 7, presentó un requerimiento para objetar los votos de los subsecretarios, amparándose en jurisprudencia de la Corte Interamericana de Derechos Humanos y alegando su derecho al Debido Proceso y al Juez Imparcial.Escrito que aún no ha sido respondido por el Tribunal Supremo de Renovación Nacional.Lee también: Schalper en debate con Winter: “El malestar social de octubre no tiene que ver con este cambio tan sobreideologizado”“A juicio de los entendidos, los Subsecretarios Pinochet y, en especial, Martorell, se encuentran inhabilitados de iniciar una causa disciplinaria contra Andrés Celis, entre otras razones, por ser una funcionaria de Gobierno que está siendo investigada por posibles irregularidades en dos procesos licitatorios; mismos que han sido objeto de fiscalización por parte del propio Celis”, argumentó la defensa del parlamentario.Por su parte, el diputado Andrés Celis dijo que “espero que se resuelva a la mayor brevedad posible mi solicitud de inhabilitación y nulidad de los procedimientos disciplinarios que se abrieron en mi contra, dado que son absolutamente injustos y podrían perjudicar mis derechos y garantías. Ningún testigo merece ser juzgado, menos cuando tiene facultades fiscalizadoras como es mi caso”.",8
25.09.2020 / 21:11,Winter a Schalper en debate por plebiscito: “Han estado 40 años diciendo no a reformar”," Los diputados Gonzalo Winter (CS) y Diego Schalper (RN) se refirieron al inicio de la campaña por el plebiscito del 25 de octubre y debatieron sobre las posturas del Apruebo y el Rechazo por una nueva Constitución.El parlamentario oficialista sostuvo, en entrevista con CNN Chile, que “tengo  la convicción que con el despliegue territorial, la franja, la campaña del Rechazo propositivo y proactivo, que no entiende echar abajo la casa, sino que buscar reformas graduales, va ir calando progresivamente en la población chilena, especialmente en los sectores medios”.Esto en relación a que las encuestas muestran una inclinación hacia la opción del Apruebo, especialmente entre los más jóvenes, grupo etario que tiene una menor participación en las urnas. Al respecto, el frenteamplista reflexionó “qué pasa si a la institucionalidad política era a la que no le interesaba lo que pasaba con la gente, porque en esta misma época en que los jóvenes han dejado de votar, han ido formando ciento de coordinadoras feministas, de rechazo a las AFP, juntas de vecinos, coordinadoras medioambientales”.“La razón de existencia del plebiscito es que hace dos a cinco años ha habido una politización de los jóvenes“, apuntó el mismo legislador de oposición.Lee también: “A la gente del pueblo no se le da espacio”: El comentario de Alinco por sus 0,44 segundos de franjaPor su parte, Schalper reiteró sus críticas a la extensión del proceso, en caso de que venza la alternativa de redactar una nueva Carta Magna la noche del 25 de octubre. “Cuando digo hacerla corta y rechazar para reformar es porque el malestar social del mes de octubre no tiene que ver con este cambio tan sobreideologizado, tiene que ver con bastos sectores de la población con la incapacidad de la dirigencia política de hacerse cargo de las problemáticas sociales con sentido de urgencia”.Por otra parte, Winter salió al paso de los cuestionamientos planteados por su par sobre la presunta dificultad que presentaría el mantenimiento de las funciones del parlamento con la de una Convención Constitucional o Mixta.“Esta idea de que durante dos años todos los cambios que se requieren hacer desde la política van a quedar congelados no tiene asidero en la realidad. La única misión que tiene la Convención Constitucional es redactar un texto de nueva Constitución. Todo aquello en lo que se puede avanzar en pensiones, Isapre, salud, vivienda y educación se puede seguir avanzando”, apuntó.Lee también: La campaña por un “traje a la medida” con que Lavín se manifestó a favor del AprueboAdemás, Schalper insistió en que “si usted tiene una grieta en su casa, ¿va echar abajo la casa o va a corregir la grieta? La hoja en blanco lo que hace es echar abajo la casa, creo que las reformas son el camino”.Lo anterior, porque dice se deben respetar “ciertos principios constitucionales que han sido importantes para lo que se ha construido en Chile durante los últimos 30 años. Aunque en el Frente Amplio les parece que en los últimos 30 años lo hemos hecho todo mal, pero en los últimos 30 años Chile ha avanzado”.Finalmente, Winter comentó que en el ahora oficialismo “han estado 40 años diciendo no a reformar, pero cuando la ciudadanía dice ‘Chile despertó, yo quiero parlamentar una nueva constitución’, dicen ahora ‘me abriría a reformar’“.",12
25.09.2020 / 13:08,Comandos del Apruebo y el Rechazo se desplegaron en las calles por el inicio de la franja," Partidarios del Apruebo y del Rechazo se desplegaron este viernes en las calles de Santiago, día en que se da inicio a la franja televisiva del plebiscito. El espacio se emitirá en dos bloques de 15 minutos: a las 12:45 y a las 20:45 horas.Hasta Plaza Italia llegó el Comando Apruebo Chile Digno para realizar un banderazo por esa opción. La diputada Camila Vallejo (PC), quien se hizo presente en la instancia, destacó que decidieron ceder su tiempo a 127 organizaciones sociales.“Hemos cedido totalmente nuestra franja a las organizaciones sociales, quienes construyeron la campaña por el Apruebo y Convención Constitucional, y así también creemos que tiene que ser en los procesos que se vienen”, afirmó la parlamentaria, con miras a las elecciones de los constituyentes si es que ganara el Apruebo.Quien también se hizo presente fue el alcalde de Recoleta, Daniel Jadue (PC). El jefe comunal resaltó que “estamos ante la oportunidad más importante en los últimos 30 años de tirar al basurero la Constitución de Pinochet y poder avanzar hacia la Constitución de un país como el que la mayoría del pueblo sueña”.Lee también: Cuándo verla y quiénes participarán: Así será la franja televisiva que empieza este viernesEn el centro de Santiago, en tanto, se desplegó un grupo de comandos por el Rechazo, conformado por partidos del oficialismo y dirigentes sociales, para lanzar la plataforma “Chile Rechaza”.El diputado Diego Schalper (RN) explicó que “es una plataforma amplia, con organizaciones sociales, con gente del mundo social, dirigencias, vecinal, que va a transmitir un mensaje. Necesitamos que las reformas se hagan hoy día, no podemos esperar dos años y medio de incertidumbre para hacer los cambios que la gente necesita“.“A la gente le han dicho que las pensiones se mejoran con la nueva Constitución, eso no es cierto; le han dicho que la salud mejora con la nueva Constitución, eso no es cierto”, aseguró.La franja televisiva se emitirá desde este viernes 25 de septiembre hasta el jueves 22 de octubre.Lee también: Ministro Monckeberg dice que el proceso constituyente “va a formar parte del legado del presidente Piñera”",10
28.07.2020 / 07:40,Tribunal Supermo de RN abre causa contra Celis: “Debe existir una actitud de cierta lealtad hacia todos los militantes”," En votación dividida, el Tribunal Supremo de Renovación Nacional (RN) decidió abrir una causa disciplinaria contra el diputado Andrés Celis luego que este acusara a su compañero de bancada, Diego Schalper, de un eventual cohecho.La decisión del TS llega tras la acusación emitida por Celis en una entrevista con CNN Chile durante la primera etapa de tramitación del retiro del 10% en la Cámara.“Me molesta que hayan diputados que llamen a otros diputados como intermediarios de algunos ministros ofreciendo algún tipo de beneficio“, dijo en esa ocasión.El fallo del organismo establece que las palabras del diputado “comprometen a otro parlamentario de este partido y eventualmente al Gobierno del que nuestro partido forma parte”.“Dirigentes, militantes y parlamentarios de Renovación Nacional, en todas sus actuaciones relativas a su vida política, deben dar pleno respeto a los estatutos del partido, su declaración de principios y lo dispuesto en el código de conducta“, argumentan.Lee también: Diputado Celis declaró como testigo ante la Fiscalía en investigación contra Diego SchalperAdemás, el TS dice que los militantes deben tener “respeto a la lealtad y al afecto partidario, lo que implica que debe existir una actitud de cierta lealtad hacia todos los militantes y dirigentes, por encontrarse todos tras un mismo y noble fin”.Agregan que el deber de denunciar delitos ante la justicia, “no puede dar pie para realizar acusaciones por la prensa que pueden dañar al Gobierno, al partido y a otros parlamentarios”.Ahora, el diputado Celis tiene un plazo de 15 días para realizar sus descargos.Por su parte, el parlamentario denunció la semana pasada que ha recibido amenazas y hostigamientos que tienen su origen en una dirección IP cuyo “titular es un ciudadano de Graneros, localidad correspondiente al distrito del Honorable Diputado don Diego Schalper”. ",10
22.07.2020 / 12:31,"Andrés Celis denunció amenazas, hostigamientos y llamados y las vinculó a caso Schalper"," El diputado Andrés Celis (RN) denunció ante la Fiscalía Regional de Valparaíso haber recibido una serie de amenazas y hostigamientos a través de redes sociales.El parlamentario acudió a la Unidad Anticorrupción de la Fiscalía para informar de la situación un día después de haber declarado como testigo a partir de la denuncia que interpuso en contra de su par Diego Schalper (RN). Celis acusa al legislador de cohecho por haber ofrecido cargos de gobierno y beneficios a otros diputados para que votaran en contra del proyecto que permite el retiro del 10% de los fondos previsionales.Lee también: Figueroa advierte que decisión “apresurada” de alcaldes de no volver a clases en 2020 “perjudica a los alumnos”Según publica El Mercurio, en la nueva denuncia, que fue enviada a través de un correo electrónico, Celis detalló que recibió “amenazas, hostigamientos, llamados anónimos de terceros y continuos mensajes para atentar contra él”. En el texto indica que las amenazas tienen su origen en una dirección IP cuyo “titular es un ciudadano de Graneros, localidad correspondiente al distrito del Honorable Diputado don Diego Schalper”. Debido a lo anterior, respecto del móvil, el parlamentario apuntó a una presunta relación con el caso que vincula a Schalper, por lo que solicitó “la protección de la Unidad de Víctimas y Testigos de la fiscalía regional”.Su abogado Juan Carlos Manríquez confirmó la denuncia y explicó que solicitaron medidas de protección para el diputado y una serie de diligencias, como “disponer el seguimiento informático, forense, de la dirección IP de la cual provienen los atentados” y tomar declaración al dueño de la cuenta en calidad de “imputado”.Lee también: SEC formula cargos contra 5 compañías por errores en procesos de facturación de sus clientes",9
